Frame,Predicted X,Predicted Y
5,209,597
11,287,581
17,355,565
24,413,548
30,461,531
36,501,514
43,534,497
49,559,480
55,579,464
62,592,448
68,601,433
74,604,419
81,604,406
87,601,394
93,594,382
100,585,372
106,573,363
113,560,355
119,546,349
125,530,344
132,514,340
138,497,338
144,480,337
151,463,337
157,446,338
163,429,341
170,414,346
176,399,351
182,385,358
189,371,366
195,359,375
201,348,386
208,339,397
214,331,410
221,324,423
227,318,438
233,314,453
240,311,469
246,309,486
252,309,503
259,310,521
265,312,539
271,316,558
278,320,577
284,325,597
290,332,616
297,339,636
303,347,656
309,355,675
316,364,695
322,374,714
329,384,733
335,394,751
341,404,769
348,414,786
354,424,803
360,434,820
367,443,835
373,452,850
379,461,864
386,468,876
392,476,888
398,482,899
405,487,909
411,491,918
417,495,926
424,497,933
430,498,939
437,498,943
443,496,947
449,494,949
456,490,950
462,485,951
468,479,950
475,471,948
481,463,945
487,453,942
494,443,937
500,431,932
506,419,927
513,407,920
519,394,914
525,380,907
532,367,899
538,354,892
545,341,885
551,329,878
557,318,872
564,309,866
570,301,861
576,295,858
583,291,855
589,290,855
595,293,856
602,299,859
608,310,865
614,326,873
621,347,884
627,374,899
634,407,918
